tree_depth,nu,cascade_depth,feature_pool_size,num_test_splits,oversampling_amount,oversampling_translation_jitter,inference_speed,training_time,training_error,testing_error,model_size
2,0.25,12,500,100,20,0.25,0.0006836652755737305,1398.6236250400543,16.069963158462752,16.00050042503092,6154188
2,0.1,10,250,100,20,0.1,0.0008104801177978516,1133.49866604805,14.232429939057727,14.06514559971245,5080670
2,0.01,10,250,20,1,0.1,0.000822138786315918,291.0395698547363,21.530005333371793,21.34721893324478,5080328
2,0.25,6,250,100,20,0.1,0.000481104850769043,808.6836647987366,14.404514276467763,14.04458092158376,3048460
2,0.01,6,500,100,1,0.0,0.0003760814666748047,298.58847093582153,22.519923563149323,21.889226821999504,3077214
2,0.01,6,100,100,20,0.25,0.000358128547668457,799.8916201591492,29.086755731875485,26.57467781241451,3036428
2,0.01,8,100,100,20,0.1,0.0006627798080444336,941.5104839801788,23.13657612929847,21.472802370509804,4048439
2,0.01,12,500,100,1,0.25,0.0007054328918457032,321.6434750556946,18.962738976758693,19.79482153032048,6153992
2,0.25,8,500,100,1,0.1,0.0005934715270996093,304.4561519622803,5.53194011322252,15.732064250397222,4099918
2,0.1,8,250,20,1,0.1,0.0004828929901123047,271.2051420211792,11.263194943988891,16.260323840711052,4063815
2,0.1,10,100,20,1,0.1,0.0005498170852661133,289.13116574287415,10.252579412497402,16.001424522471982,5059599
2,0.1,6,500,20,20,0.1,0.00037744045257568357,567.734386920929,17.36857032788244,17.002863001322474,3077272
2,0.25,12,100,20,1,0.0,0.0006438732147216797,294.21887588500977,5.44713819771073,16.336947649948012,6068145
2,0.01,12,250,100,20,0.0,0.0006526231765747071,1339.974566936493,20.494590499471762,19.43788381849142,6096409
2,0.01,8,500,100,20,0.25,0.0004815340042114258,1025.5492680072784,28.371658730520537,26.133363390575248,4102829
2,0.01,6,250,100,20,0.0,0.000602102279663086,799.8194355964661,23.627278640369717,21.800055285412455,3048373
2,0.25,12,500,100,20,0.1,0.000672149658203125,1374.705608844757,11.255669631107988,11.243538865451047,6154144
2,0.25,12,250,100,20,0.25,0.0007087230682373047,1315.6353149414062,16.76043170752845,15.921894088766772,6096605
2,0.01,12,500,100,1,0.1,0.000677490234375,330.3068950176239,18.962738976758693,19.79482153032048,6153992
2,0.1,12,500,20,1,0.1,0.0006758689880371094,296.85174012184143,8.743084940753517,15.426090801240017,6152904
2,0.1,8,100,20,20,0.0,0.0004559755325317383,600.0631973743439,15.440508576947124,15.47301393911639,4048432
2,0.1,8,100,100,20,0.25,0.0004621267318725586,978.9506511688232,21.64548965378504,20.00830569022226,4048446
2,0.01,6,250,20,20,0.1,0.0003571033477783203,548.4143261909485,25.51699046547895,23.31516148406114,3048408
2,0.01,12,500,100,1,0.0,0.0006597280502319336,319.8646750450134,18.962738976758693,19.79482153032048,6153992
2,0.1,12,100,20,1,0.25,0.0006416797637939453,296.0541081428528,9.17274709313702,15.689356705427603,6071380
2,0.1,8,250,100,1,0.25,0.0006924629211425781,309.477970123291,9.486131783074352,15.908790856808602,4063651
2,0.01,8,250,100,1,0.0,0.0004547119140625,311.7337329387665,21.149508623764568,21.07376345097931,4064432
2,0.25,10,100,20,20,0.25,0.0005903482437133789,708.08682513237,20.00756821363643,18.323027898637918,5060503
2,0.01,12,100,20,20,0.1,0.0006585359573364258,756.143355846405,22.590181118443848,21.291364080713187,6072559
2,0.25,10,500,100,1,0.1,0.0005968332290649414,321.9050199985504,4.587540960828692,15.664356025133515,5124280
2,0.01,12,250,20,1,0.1,0.0008171319961547852,301.7308931350708,20.613141316932772,20.854901917082636,6096440
2,0.1,8,100,20,20,0.1,0.0004638671875,600.0943171977997,16.85931159435351,16.55793191076603,4048411
2,0.1,8,500,20,20,0.1,0.0004292964935302734,678.2413759231567,16.216041238839928,16.01038309732103,4102936
2,0.01,12,500,20,1,0.25,0.000722193717956543,299.2014629840851,20.620802499896012,20.75349236309654,6154135
2,0.1,12,250,100,1,0.25,0.0006746530532836914,321.52215600013733,7.251985844009627,14.799309070589645,6094997
2,0.1,10,250,100,1,0.0,0.000756216049194336,317.30891394615173,8.170752935575521,15.402375177494028,5079288
2,0.25,12,100,100,1,0.0,0.0006437063217163086,325.2567858695984,4.379436659103337,15.80868532459945,6067701
2,0.25,6,250,20,1,0.25,0.0003924369812011719,280.6695330142975,8.900074860170273,16.510962923345865,3046775
2,0.01,6,250,100,20,0.25,0.0003509521484375,816.1316771507263,29.074139471852092,26.596863925758917,3048592
2,0.25,6,100,20,1,0.0,0.0003769159317016602,292.99170684814453,9.394854813033074,16.559121238965407,3035089
2,0.1,12,500,20,20,0.25,0.0007593631744384766,875.2026660442352,19.779005010865884,18.89688473544504,6154282
2,0.1,12,250,100,1,0.1,0.0007127523422241211,329.5815598964691,7.241090063364923,14.821979114914,6095025
2,0.01,8,100,100,1,0.25,0.0004991292953491211,306.5000081062317,21.416591399164357,21.126349942061534,4048348
2,0.01,6,250,20,1,0.0,0.0003684282302856445,291.7232880592346,23.998081041101848,22.97689855162662,3048422
2,0.25,12,100,20,1,0.1,0.0006353616714477539,295.97168374061584,5.44713819771073,16.336947649948012,6068145
2,0.25,6,500,20,20,0.0,0.0003711700439453125,572.2122778892517,13.850493916667954,13.854260866353275,3077160
2,0.1,8,100,100,1,0.0,0.00045740604400634766,307.45598912239075,10.102920835824992,16.124205300097053,4047668
